Accession,Title,Count
GSE72538,Amyloid protein-mediated differential DNA methylation status regulates gene expression in Alzheimer’s disease model cell line.,2
GSE72556,Maternal Weight Phenotype as a Predictor of Methylation of Obesity-Related CpG Sites in Saliva Samples from Latino Children,96
GSE72729,"Integration of miRNA, mRNA and methylation profiling reveals genes aberrantly regulated associated to RETM918T mutation in Medullary Thyroid Carcinoma [methylation component]",48
GSE72730,"Integration of miRNA, mRNA and methylation profiling reveals genes aberrantly regulated associated to RETM918T mutation in Medullary Thyroid Carcinoma",79
GSE72872,Methylome and transcriptome of EAC (methylation),250
GSE72873,Methylome and transcriptome of EAC (expression),70
GSE72874,Methylome and transcriptome of EAC,320
GSE73003,Genome-wide DNA methylation analysis in hepatocellular carcinoma,40
GSE73103,Many obesity-associated SNPs strongly associate with DNA methylation changes at proximal promoters and enhancers,355
GSE73187,Aberrant epigenetic regulation in clear cell sarcoma of the kidney (CCSK),66
GSE73412,Epigenetic Pattern on the Human Y Chromosome is Evolutionarily Conserved,74
GSE73515,DNA methylation data from primary neuroblastoma tumors,105
GSE73518,Primary neuroblastoma tumors,210
GSE73745,Whole-genome saliva and blood DNA methylation patterns in individuals with a respiratory allergy,24
GSE73747,Epigenetic Dysregulation in the Developing Down Syndrome Brain,72
GSE73808,Luminal B breast cancer subtype displays a dichotomic epigenetic pattern,37
GSE73832,Integrated DNA methylation and RNA expression in Small Intestinal neuroendocrine tumors,133
GSE74167,Epigenetic Effects of Maternal Obesity on Wharton's Jelly (WJ) Mesenchymal Stromal Cells (MSCs): Implications For Cellular Therapy. (methylation study),42
GSE74214,Genome-wide single base resolution profiling of 5-methylcytosine in human breast tissue,18
GSE74486,Trans-effects of chromosome aneuploidies on DNA methylation patterns:  DNA methylation analysis of Down syndrome in human brain tissues and cells,131
GSE74519,Trans-effects of chromosome aneuploidies on DNA methylation patterns in human Down syndrome and mouse models,134
GSE74693,Genome-wide methylation analysis of esophageal squamous cell carcinoma using Infinium HumanMethylation 450 BeadChip,10
GSE75041,Methylation profiling in predict recurrence hepatocellular carcinoma,66
GSE75196,DNA methylation profiles in preeclampsia and healthy control placentas,24
GSE75248,Novel Regions of Variable DNA Methylation in Human Placenta associated with Newborn Neurobehavioral Traits,335
GSE75414,Epigenetic regulation of the homeobox gene MSX1 associates with platinum resistant disease in high grade serous epithelial ovarian cancer,86
GSE75434,Epigenome analysis of intracranial aneurysm and superficial temporal artery samples,18
GSE75679,DNA Methylation Patterns Associated with Fatigue in Primary Sjögren’s Syndrome,48
GSE75729,Chronic binge alcohol administration dysregulates global regulatory gene networks associated with skeletal muscle wasting in simian immunodeficiency virus-infected macaques,8
GSE76372,Genome-wide methylation profile of Lymphocytes and induced pluripotent stem cells,9
GSE76401,Epigenomic study of Post-traumatic Stress Disorder among OIF/OEF veterans,101
GSE76585,DNA methylation profiling of pediatric B lymphoblastic leukemia with KMT2A rearrangement identifies hypomethylation at enhancer sites,26
GSE76709,Genome-wide DNA methylation analysis of Romidpesin treated GCC cell lines,8
GSE76938,Illumina M450 profiling of human prostate cancer tissue and benign prostate tissue,136
GSE77036,"DNA methylation analysis of HCT116 cells after PBS, 5-Aza-CdR, vitamin C and combination treatment",4
GSE77135,Strong Components of Epigenetic Memory in Cultured Human Fibroblasts Related to Site of Origin and Donor Age (Methylation),21
GSE77136,Strong Components of Epigenetic Memory in Cultured Human Fibroblasts Related to Site of Origin and Donor Age,43
GSE77283,Genome-wide methylation profiles of menstrual blood and vaginal fluid,12
GSE77696,Epigenome-wide assoication analysis of HIV infection,378
GSE77716,Differential DNA methylation in Latino population,573
GSE77871,Pathway implications of aberrant global methylation in adrenocortical cancer,24
GSE78218,Epigenomics signature in X-ALD aligns with impaired oligodendrocyte differentiation,34
GSE78277,Aberrant methylation-mediated silencing of microRNAs contributes to HPV-induced anchorage independence [methylation-Illumina],6
GSE78279,Aberrant methylation-mediated silencing of microRNAs contributes to HPV-induced anchorage independence,66
GSE78751,DNA methylation profile of triple negative breast cancer specific genes (study),39
GSE78754,DNA methylation profile of triple negative breast cancer specific genes (validation),70
GSE78758,DNA methylation profile of triple negative breast cancer specific genes,116
GSE78940,Whole-genome DNA methylation profiles of CD4+ CD28+ and CD4+ CD28null T lymphocytes.,4
GSE78942,Whole-genome DNA methylation and expression profiles of CD4+ CD28+ and CD4+ CD28null T lymphocytes,8
GSE78963,"A Multicenter, First-in-Pediatrics, Randomized Study to Evaluate the Safety and Efficacy of Decitabine as Epigenetic Priming with Induction Chemotherapy in Children with Acute Myelogenous Leukemia",36
GSE79064,DNA methylation profiling in human Huntington's Disease brain,18
GSE79257,ASSISTED REPRODUCTIVE TECHNOLOGIES ALTER DNA METHYLATION PROFILES IN BLOODSPOTS OF NEWBORN INFANTS ,137
GSE79648,Epigenome analysis of dnmt target sites [3ABDKO cell line],24
GSE79695,Molecular alterations in bone marrow mesenchymal stromal cells (BM-MSC) derived from acute myeloid leukemia patients (AML),44
GSE80377,DNA methylation profile of PBMC following decitabine therapy,4
GSE80508,Epigenetic minicircuitry of AML1-ETO/THAP10/MIR383 contributes t(8;21) AML leukemogenesis,12
GSE80559,Evaluating the impact of sleep on genome-wide methylation levels in college students,2
GSE81006,Methylation data from from HCT-8 human colorectal cancer (CRC) wild type cells (HCT8/WT) and its 5-FU-induced resistant cell line (HCT8/5-FU),12
GSE81008,HCT-8 human colorectal cancer (CRC) wild type cells (HCT8/WT) and its 5-FU-induced resistant cell line (HCT8/5-FU),30
GSE81015,Genome-wide DNA methylation analysis of WERI-Rb-1 (retinal cells) infected with Toxoplasma gondii over time,12
GSE81337,Methylome analysis reveals alterations in DNA methylation in the regulatory regions of left ventricle development genes in human dilated cardiomyopathy (methylation),27
GSE81339,Methylome analysis reveals alterations in DNA methylation in the regulatory regions of left ventricle development genes in human dilated cardiomyopathy,57
GSE81788,Potential roles of DNA methylation in the initiation and establishment of replicative senescence revealed by array-based methylome and transcriptome analyses [methylation],8
GSE81790,Regulation of DNA methylation landscape in human somatic cell reprogramming by miR-29 family (illumina 450K),14
GSE81794,Regulation of DNA methylation landscape in human somatic cell reprogramming by miR-29 family,50
GSE81797,Potential roles of DNA methylation in the initiation and establishment of replicative senescence revealed by array-based methylome and transcriptome analyses [methylation 450K],2
GSE81798,Potential roles of DNA methylation in the initiation and establishment of replicative senescence revealed by array-based methylome and transcriptome analyses,16
GSE82234,DNA methylation profiles of human umbilical vein endothelial cells (HUVECs),6
GSE83156,Epigenetic regulation of the transcriptional program in memory and terminally differentiated CD8+ T cells [HCAFIS_05_Methylation],6
GSE83159,Epigenetic regulation of the transcriptional program in memory and terminally differentiated CD8+ T cells,31
GSE83261,High-risk human papillomavirus E7 affects host keratinocyte DNA methylation,12
GSE83320,Parallel global gene expression and DNA methylation analyses of human papillomavirus-positive normal keratinocytes,24
GSE83379,Mapping epigenetic changes to the host cell genome induced by Burkholderia pseudomallei reveals pathogen-specific and pathogen-generic signatures of infection,18
GSE83458,"The DNA methylation profiles of CD14+ monocytes, dendritic cells and myeloid-derived suppressor cells",18
GSE83845,Methylation profiles of lung adenocarcinoma patients in Taiwan,39
GSE83917,"Genomic hallmarks of localized, non-indolent prostate cancer",160
GSE84043,"Genomic hallmarks of localized, non-indolent prostate cancer",233
GSE84395,Endothelial DNA methalytion signature in pulmonary arterial hypertension,39
GSE84749,Genome-wide DNA methylation profiling of prostate specimens from a clinical trial of genistein supplementation prior to prostatectomy.,24
GSE84750,Prostate specimens from a clinical trial of genistein supplementation prior to prostatectomy,48
GSE85212,DNA methylation profiling of primary medulloblastoma samples,763
GSE85218,DNA methylation and gene expression profiling of primary medulloblastoma samples,1526
GSE85506,DNA methylation analysis in women with fibromyalgia,47
GSE85539,Radiogenomics of glioblastoma: Machine-learning based classification of molecular characteristics using multiparametric and multiregional MRI features,152
GSE85566,DNA methylation in lung cells is a key modulator of asthma endotypes and genetic risk [DNA methylation],115
GSE85568,DNA methylation in lung cells is a key modulator of asthma endotypes and genetic risk,200
GSE85571,Optimization of 3-Pyrimidin-4-yl-oxazolidin-2-ones as Allosteric and Mutant Specific Inhibitors of IDH1,39
GSE85621,The Effects of Regular Post-Exercise Cold Water Immersion on DNA methylation in Muscle Following 10-weeks of Strength Training,26
GSE85636,The Effects of Regular Post-Exercise Cold Water Immersion in Muscle Following 10-weeks of Strength Training,52
GSE85647,Methylation and expression profiles of monocytes in monozygotic twins: role in Myasthenia Gravis [methylation profiling],23
GSE85649,Methylation and expression profiles of monocytes in monozygotic twins: role in Myasthenia Gravis,48
GSE85828,"Molecular, Phenotypic, and Sample-associated Data to Describe Pluripotent Stem Cell Lines and Derivatives",114
GSE86402,DNA methylation in human DIP2C knockout cancer cells,6
GSE87016,Genomewide methylation profiles in coronary artery ectasia,23
GSE87095,DNA methylation analysis of B cells in Rheumatoid Arthritis,122
GSE88824,Deconvolution of whole blood DNA methylomes reveals immune cell type-specific differential methylation in Multiple Sclerosis,83
GSE88883,Breast cancer risk factors are associated with DNA methylation in non-diseased breast tissue independent of cell type,100
GSE88890,Major depression MDD suicide brain study,75
GSE88940,Analysis of obesity-induced DNA methylation in visceral adipose tissue,20
GSE89093,DNA methylome analysis of human peripheral blood samples in cancer discordant monozygotic twin-pairs,92
GSE89251,Epipolymorphisms associated with the clinical outcome of autoimmune arthritis affect CD4+ T cell activation pathways (methylation),136
GSE89253,Epipolymorphisms associated with the clinical outcome of autoimmune arthritis affect CD4+ T cell activation pathways,261
GSE89278,Effect of prenatal DHA supplementation on the infant epigenome,369
GSE89400,Clonal variation in drug and radiation response among glioma-initiating cells is linked to  proneural-mesenchymal transition (Methylation BeadChip),17
GSE89401,Clonal variation in drug and radiation response among glioma-initiating cells is linked to  proneural-mesenchymal transition,199
GSE89472,DNA methylation patterns in twins discordant for ALS reveal concordant signatures of disease [array],10
GSE89474,DNA methylation patterns in twins discordant for ALS reveal concordant signatures of disease,20
GSE89648,Methylation microarray data of human clear cell renal cell carcinoma,12
GSE89649,Expression and methylation data of human clear cell renal cell carcinoma,24
GSE89702,Schizophrenia-associated methylomic variation: molecular signatures of disease and polygenic risk burden across multiple brain regions (cerebellum DBCBB).,33
GSE89703,Schizophrenia-associated methylomic variation: molecular signatures of disease and polygenic risk burden across multiple brain regions (hippocampus LNDBB).,27
GSE89705,Schizophrenia-associated methylomic variation: molecular signatures of disease and polygenic risk burden across multiple brain regions (striatum DBCBB).,33
GSE89706,Schizophrenia-associated methylomic variation: molecular signatures of disease and polygenic risk burden across multiple brain regions (striatum LNDBB).,49
GSE89707,Schizophrenia-associated methylomic variation: molecular signatures of disease and polygenic risk burden across multiple brain regions,142
GSE89776,Pluripotent Reprogramming of Human AML Resets Leukemic Behavior and Models Therapeutic Targeting of Subclones [methylation],48
GSE89778,Pluripotent Reprogramming of Human AML Resets Leukemic Behavior and Models Therapeutic Targeting of Subclones,87
GSE89895,Impact of regulatory variation across human iPSCs and differentiated cells,220
GSE90060,Endometrial methylome of healthy women during the transition from pre-receptive to receptive phase,34
GSE90117,Prenatal Pesticide Exposure Interacts with a Common Polymorphism in the PON1 Gene Leading to DNA Methylation Changes,48
GSE90124,DNA methylome analysis of skin samples from punch tissue biopsy of 322 healthy female individuals and total body naevus count,322
GSE90867,Molecular characteristics of the KCNJ5 mutated aldosterone-producing adenomas.,42
GSE90871,In utero exposure to maternal smoking is associated with DNA methylation alterations and reduced neuronal content in the developing fetal brain,24
GSE90933,Differential genomic-methylation profile of U937 cells transduced with WT/mutant-DNMT3A,4
GSE90934,Differential gene expression and genomic methylation profile of U937 cells transduced with WT/mutant-DNMT3A,8
GSE91069,DNA methylation patterns separate senescence from malignant transformation potential in human cells [methylation],31
GSE91071,DNA methylation patterns separate senescence from malignant transformation potential in human cells,39
GSE92462,Characterizing the epigenome of glioma stem cells (Methylation BeadChip),48
GSE92469,Characterizing the epigenome of glioma stem cells,157
GSE92511,DNA methylation profiling in lungs tissues of smokers and patients with COPD,24
GSE92577,Validation of the MethylationEPIC BeadChip for fresh-frozen and formalin-fixed paraffin-embedded tumours (450K),12
GSE92579,Validation of the MethylationEPIC BeadChip for fresh-frozen and formalin-fixed paraffin-embedded tumours (EPIC),25
GSE92580,Validation of the MethylationEPIC BeadChip for fresh-frozen and formalin-fixed paraffin-embedded tumours,37
GSE92767,Genome-wide methylation profiles of saliva,54
GSE92843,Genome-wide DNA-methylation profiles of human lung cancer cell lines and normal lung cells,4
GSE93208,DNA methylation profiling of first trimester villous cytotrophoblasts,19
GSE93373,Epigenome analysis of B cell and  B cells infected with Epstein-Barr virus (EBV),16
GSE93429,Comparison of ox-BS-450k 5-hydroxymethylcytosine and BS-450k 5-methylcytosine profiles in the human placenta,8
GSE94943,Multicomponent Signatures for Predicting Epigenomic Treatment Efficacy,72
GSE95040,"Comparative DNA methylation profiling of ICF patients supports a functional link between ZBTB24, CDCA7 and HELLS at genomic regions with heterochromatin features",25
GSE97483,"DNA Methylation profiling in luminal breast cancer cells treated with a novel KDM5 inhibitor, 5-aza-2' Deoxycytidine, or both.",6
GSE97484,"Breast cancer cells treated with a novel KDM5 inhibitor, 5-aza-2' Deoxycytidine, or both.",33
GSE97686,Genome-Wide DNA Methylation Profiling of Gastric Cancer-Associated Myofibroblasts,9
GSE97687,Genome-Wide DNA Methylation Profiling of Oesophageal Cancer-Associated Myofibroblasts,10
GSE97853,DNA methylation profile of model breast cancer cell lines PMC42-ET and PMC42-LA,8
GSE98807,DNA methylation analysis in head and neck cancer cells,21
GSE98811,RNA-seq and DNA methylation analysis in head and neck cancer cells and cell lines,25
GSE98813,Integrated time course omics analysis distinguishes immediate therapeutic response from acquired resistance. (Methylation),36
GSE98815,Integrated time course omics analysis distinguishes immediate therapeutic response from acquired resistance.,72
GSE99029,Genome-wide DNA methylation of ǂKhomani San,57
GSE99091,Genome-wide DNA methylation and SNP genotyping of ǂKhomani San,105
GSE99505,Ginsenoside Rg3 epigenetically regulates cell-mediated immune pathway to inhibit proliferation of the MCF-7 breast cancer cell,2
GSE99511,Identification and validation of a novel 3-gene methylation classifier for HPV-based cervical screening on self-samples,68
GSE99553,Normal gastric mucosa from gastric cancer cases and healthy controls exhibit methylome-wide changes associated with current and past Helicobacter pylori infection and cancer risk,84
GSE99624,Primary osteoporosis is not reflected by disease-specific DNA methylation or accelerated epigenetic age in blood,48
GSE99788,A distinct epigenetic profile distinguishes stenotic from non-inflamed fibroblasts in the ileal mucosa of Crohn's disease patients [methylation],18
GSE99863,DNA methylation in children from The Gambia,257
GSE100134,Gene expression analysis upon mtDNA depletion,108
GSE100227,The Australian Mammographic Density Twins and Sisters Study - DNA methylation data,479
GSE100249,Gene expression analysis upon mtDNA depletion [methylation],24
GSE100503,Concordance of DNA methylation profiles between breast core biopsy and surgical excision specimens containing ductal carcinoma in situ (DCIS),13
GSE100653,Genome-wide single base resolution profiling of 5-hydroxymethylcytosine in human breast tissue,18
GSE100825,Genome-wide DNA methylation analysis in blood cells from patients with Werner Syndrome,6
GSE100940,Potential forensic application of DNA methylation profiling for identical twin identification,24
GSE101443,Genome-wide DNA methylation pattern changes in basal-like breast cancer patients,8
GSE101445,Genome-wide methylation and hydroxymethylcytosine pattern changes in basal-like breast cancer patients,16
GSE101658,DNA methylation in demyelinated multiple sclerosis hippocampus,15
GSE101764,ColoCare Project: Epigenome-wide analysis of DNA methylation in colorectal cancer and adjacent mucosa tissues,261
GSE102177,DNA methylation profiles in sibling pairs discordant for intrauterine exposure to maternal gestational diabetes,36
GSE102468,DNA Methylation signatures in Panic Disorder,165
GSE102504,DNA methylome modifications and subtyping in ME/CFS,25
GSE102952,DNA methylation profiles in the retina of AMD patients,18
GSE103006,Variants of DNMT3A cause transcript-specific DNA methylation changes,24
GSE103008,Variants of DNMT3A cause transcript-specific DNA methylation and gene expression changes,48
GSE103010,Epigenetic modifications of hematopoietic differentiation are recapitulated in humanized mice,5
GSE103186,Genomic and Epigenomic Profiling of High-Risk Intestinal Metaplasia Reveals Molecular Determinants of Gastric Cancer Progression,191
GSE103189,Cord blood buffy coat DNA methylation is comparable to whole cord blood methylation,16
GSE103498,Whole genome bisulphite sequencing using the Illumina X system [Infinium MethylationEPIC],7
GSE103502,Whole genome bisulphite sequencing using the Illumina X system [Illumina HumanMethylation450 BeadChip],8
GSE103505,Whole genome bisulphite sequencing using the Illumina X system,19
GSE103541,DNA methylation profiles of Purified Blood Cell types,145
GSE103659,"Radiomic subtyping improves disease stratification beyond key molecular, clinical and standard imaging characteristics in patients with glioblastoma.",181
GSE104087,Nasal DNA methylation differentiates corticosteroid treatment response in pediatric asthma: A pilot study,40
GSE104210,Clinical and genetic diversity and recurrent CXorf67 mutations across distinct molecular subgroups of posterior fossa type A (PFA) ependymoma.,675
GSE104271,FIBP maintains colorectal cancer cells stemness via demethylation of stemness genes,6
GSE104287,Anti-mycobacterial activity correlates with altered DNA methylation pattern in immune cells from BCG-vaccinated subjects,48
GSE104293,The methylome of DDR genes and benefit from RT or TMZ in IDH mutant low grade glioma treated in EORTC 22033,132
GSE104812,Epigenome analysis of whole blood samples in Chinese children,48
GSE105018,Whole blood DNA methylation profiles in participants of the Environmental Risk (E-Risk) Longitudinal Twin Study at age 18.,1658
GSE105066,Integrative Epigenetic Analysis Reveals Therapeutic Targets to the DNA Methyltransferase Inhibitor SGI-110 in Hepatocellular Carcinoma Cells [methylation],34
GSE105067,Integrative Epigenetic Analysis Reveals Therapeutic Targets to the DNA Methyltransferase Inhibitor SGI-110 in Hepatocellular Carcinoma Cells,68
GSE105123,AltitudeOmics methylation data,108
GSE105124,AltitudeOmics,318
GSE105420,"DNA methylation profile in chronic myelomonocytic leukemia associates with distinct clinical, biological and genetic features",76
GSE105798,Genome-wide analysis of DNA methylation profile provides clinical implication of Crohn’s Disease,11
GSE106648,Differential DNA methylation in Multiple Sclerosis,279
GSE107215,Epigenetic Effects of Maternal Obesity on Wharton's Jelly (WJ) Mesenchymal Stromal Cells (MSCs): Implications For Cellular Therapy.,84
GSE107226,Global DNA methylation pattern of fibroblasts in idiopathic pulmonary fibrosis: relationship to gene expression,12
GSE107737,Epigenome-wide association study of the whole blood DNA in men with congenital hypopituitarism disease,24
GSE107946,Malignant rhabdoid tumors originating within and outside the central nervous system are clinically and molecularly heterogeneous,26
GSE108213,Hormone Therapy Use and Breast Tissue DNA Methylation: Analysis of Epigenome Wide Data from the Normal Breast Study,85
GSE108576,DNA methylation analysis of brain metastasis,89
GSE109446,Nasal DNA methylation is associated with childhood asthma,58
GSE109507,DNA methylation analysis in familial adenomatous polyposis,23
GSE109914,Genome wide DNA methylation analysis of arsenic exposure and non-exposure population and patients with skin lesions,119
GSE110007,Epigenetic Signatures of Salivary Gland Inflammation in Sjögren's Syndrome.,31
GSE110544,Impact of regulatory variation across human iPSCs and differentiated cells [methylation],58
GSE110600,Profiling DNA Methylation Differences Between Inbred Mouse Strains on the Illumina Human Infinium MethylationEPIC Microarray,11
GSE110697,DNA methylation data comparing Wilms tumor primary samples to patient-derived xenografts,78
GSE110699,Comparing Wilms tumor primary samples to patient-derived xenografts,113
GSE111183,Identification of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome-associated DNA methylation patterns,25
GSE111200,Integrated genetic and epigenetic analysis of myxofibrosarcoma,41
GSE111336,Epigenome analysis of pheochromocytoma/paraganglioma samples,31
GSE111428,Epigenome analysis of ependymoma cell lines,6
GSE111681,ZBTB24 is a transcriptional regulator that coordinates with DNMT3B to control DNA methylation [Infinium],7
GSE111689,ZBTB24 is a transcriptional regulator that coordinates with DNMT3B to control DNA methylation,33
GSE111942,Rheumatoid arthritis associated DNA methylation sites in peripheral blood mononuclear cells,43
GSE112012,Epigenomics analysis of a fibrosarcoma with ESCC case,2
GSE112047,Genome-Wide DNA methylation analysis of tumor and adjacent normal prostate tissues,47
GSE112179,DNA methylation in neurons from post-mortem brains in schizophrenia and bipolar disorder (Methylation),100
GSE112308,BCAT1 and miR-2504: novel methylome signature distinguishes spindle/desmoplastic melanoma from superficial malignant peripheral nerve sheath tumor,30
GSE112525,DNA methylation in neurons from post-mortem brains in schizophrenia and bipolar disorder,332
GSE112596,Epigenome analysis of CD4 T cells from treated and untreated patients with multiple sclerosis (MS),112
GSE112611,DNA Methylation Signatures of Crohn's disease Largely a Consequence of Inflammation,402
GSE112696,Epigenome analysis of normal and T cells from patients with myasthenia gravis,12
GSE112791,Comprehensive molecular characterization of liver cancer and inheritance of the phenotypic traits during tumor recurrence,329
GSE112812,Genetic and epigenetic changes in clonal descendants of irradiated human fibroblasts [strain 1],48
GSE112873,Genetic and epigenetic changes in clonal descendants of irradiated human fibroblasts [strain 2],48
GSE112877,Genetic and epigenetic changes in clonal descendants of irradiated human fibroblasts,96
GSE112905,Changes in DNA methylation patterns associated with Gulf War Illness,20
GSE112987,Epigenetic profiling of Fetal Alcohol Spectrum Disorder (FASD) Discovery,103
GSE113012,Epigenetic profiling of Fetal Alcohol Spectrum Disorder (FASD) Replication,35
GSE113017,Comprehensive molecular characterization of liver cancer and inheritance of the phenotypic traits during tumor recurrence [methylation - classification],60
GSE113018,Epigenetic profiling of Fetal Alcohol Spectrum Disorder (FASD),138
GSE113019,Comprehensive molecular characterization of liver cancer and inheritance of the phenotypic traits during tumor recurrence [methylation - recurrence],55
GSE113308,DNA methylation analysis of AR24Q and AR97Q SH-SY5Y cell culture samples with dihydrotestosterone,6
GSE113501,DNA methylation status predicts survival in metastasis free clear cell renal cell carcinoma,144
GSE113527,Epigenetic changes in umbilical cord mesenchymal stromal cells upon stimulation and culture expansion,32
GSE113775,Epigenomics analysis of an esophageal NEC case,2
GSE113779,Expression and methylation profiling of esophageal NEC,6
GSE114134,Methylomes from naïve CD4+ T-cells from infants and children with and without food allergy [methylation],205
GSE114135,Transcriptomes and methylomes from naïve CD4+ T-cells from infants and children with and without food allergy,342
GSE114210,IG-MYC-positive neoplasms with precursor B-cell phenotype are molecularly distinct from Burkitt lymphomas,7
GSE114534,Genome-wide DNA methylation of survival outliers of glioblastoma,44
GSE114683,Global methylation analysis of highly motility cells,2
GSE114753,Cigarette smoking significantly alters sperm DNA methylation patterns,156
GSE115278,Epigenome-wide association study in peripheral white blood cells: Methyl Epigenome Network Association (MENA) project,474
GSE115508,DNA methylation profiling of acute chorioamnionitis-associated placentas and fetal membranes : insights into epigenetic variation in spontaneous preterm births,79
GSE115777,Comparative global methylation profile in DMS114 cells before and after acquired resistance to PD173074,4
GSE115797,Genome wide DNA methylation of Psoriasis patients from disease and adjacent Normal skin skin tissue samples,48
GSE116298,Intra-Tumor DNA Methylation Heterogeneity in Glioblastoma; Implications for DNA Methylation-based Classification,47
GSE116754,"Methylation analysis of human embryonic stem cells (hESCs), hESC-derived splanchnic mesoderm and hESC-derived mesothelium (mesenchymal form)",38
GSE117852,Methylation Heterogeneity within Human non-functional Pancreatic neuroendocrine tumors (PanNETs),32
GSE117853,Gene expression and methylation profile of Human non-functional Pancreatic neuroendocrine tumors (PanNETs),112
GSE117929,Integration of genome-wide DNA methylation and transcription uncovered aberrant methylation-regulated genes and pathways in the peripheral blood mononuclear cells of systemic sclerosis [methylation],37
GSE117931,Integration of genome-wide DNA methylation and transcription uncovered aberrant methylation-regulated genes and pathways in the peripheral blood mononuclear cells of systemic sclerosis,74
GSE118872,Methylation profile of ewing sarcoma cell lines,24
GSE118940,Epigenome analysis of cohorts infants and toddlers: children raised in orphanages and children raised in biological families,58
GSE118970,Defining UHRF1 Domains That Support Maintenance of Human Colon Cancer DNA Methylation and Oncogenic Properties [methylation],30
GSE118972,Defining UHRF1 Domains That Support Maintenance of Human Colon Cancer DNA Methylation and Oncogenic Properties,50
GSE119684,A Trio Based Approach to Epilepsy Methylome,45
GSE119774,CHROMATIN LANDSCAPES REVEAL DEVELOPMENTALLY ENCODED TRANSCRIPTIONAL STATES THAT DEFINE GLIOBLASTOMA [HumanMethylation850 BeadChip],90
GSE119776,CHROMATIN LANDSCAPES REVEAL DEVELOPMENTALLY ENCODED TRANSCRIPTIONAL STATES THAT DEFINE GLIOBLASTOMA,384
GSE120122,ETMR-like infantile cerebellar embryonal tumors in the extended morphologic spectrum of DICER1-related tumors,2
GSE120250,"Impact of Assisted Reproduction, Infertility, Sex, and Paternal Factors on the Placental DNA Methylome",88
GSE120307,Genome-wide DNA methylation analysis in peripheral blood of monozygotic twins informative for psychopathology,34
GSE120610,Exploring the Genetic Basis of Human Population Differences in DNA Methylation and their Causal Impact on Immune Gene Regulation,156
GSE120650,DNA methylation data from 58 primary neuroblastomas,58
GSE120854,"Integrated epigenome, exome and transcriptome analyses reveal molecular subtypes and homeotic transformation in uterine fibroids [DNA methylation]",34
GSE121056,Placenta-specific DMRs maintain methylation across gestation.,12
GSE121483,Competitive repopulation of an empty microglial niche gives rise to functionally distinct subsets of microglia-like cells,25
GSE122126,Comprehensive human cell-type methylation atlas reveals origins of circulating cell-free DNA in health and disease,101
GSE123914,Variation in DNA methylation of human blood over a 1-year period using the Illumina MethylationEPIC array,69
GSE124366,Integration of DNA methylation patterns and genetic variation in human pediatric tissues help inform EWAS design and interpretation,215
GSE124565,Genome-wide DNA methylation analysis in primary antiphospholipid syndrome neutrophils,22
GSE125399,Putative Biomarkers of malignant transformation of sinonasal inverted papilloma into squamous cell carcinoma,11
GSE126545,TCF4 germline mutation and adult-onset SHH medulloblastoma,1
GSE128235,Epigenome analysis of depressed and control subjects. [subset],537
