	6-P-1	6-P-10	6-P-11	6-P-12	6-P-13	6-P-14	6-P-15	6-P-16	6-P-17	6-P-18	6-P-19	6-P-2	6-P-20	6-P-21	6-P-22	6-P-23	6-P-24	6-P-25	6-P-26	6-P-27	6-P-28	6-P-29	6-P-3	6-P-30	6-P-4	6-P-5	6-P-6	6-P-7	6-P-8	6-P-9	6-T-1	6-T-2	6-T-3	6-T-4	6-T-5	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Colon	STL001SG-01	STL003SG-01
chr19:40971438-40971476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.177777777777778	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3:69591254-69591260	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0395833333333333
chr1:243265015-243265031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	0.0639517512311183	NA
chr5:1645473-1645536	0.00444444444444444	NA	0.03	1	1	NA	0.5	NA	1	NA	NA	NA	1	1	1	1	0.474945054945055	0.5	1	1	1	0.119444444444444	NA	NA	NA	NA	NA	NA	0.00392156862745098	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	0.00266666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:55765525-55765553	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12:54610752-54611134	0.00317460317460317	NA	0.997916666666667	1	0.0384795321637427	NA	0.0833333333333333	1	0.965555555555556	1	0.880555555555556	0.0111111111111111	0.962770562770563	0.0567676767676768	0.266448988720036	0.900006915524157	0.0206349206349206	0.460416666666667	0.945947900053163	0.25	NA	0.59246573859577	NA	0.318131868131868	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84984593837535	NA	NA	0.00104166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0021505376344086	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003125	0.0013745704467354
chr8:104153383-104153388	NA	NA	NA	1	NA	NA	0.25	NA	NA	1	NA	NA	0.0138888888888889	1	0.0555555555555556	NA	NA	NA	NA	NA	0.555555555555556	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	0.0138888888888889	NA	NA	NA	NA	NA	NA	0.0053763440860215	NA
chr11:64739648-64739662	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00311526479750779	0.0137588652482269
chr19:22806288-22806299	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	1	0.0555555555555556	NA	0.5	NA	NA	0.0416666666666667	NA	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	0.4	NA	0.332722832722833	0.666666666666667	0.638888888888889	0.0277777777777778	NA	NA	NA	NA	0.0476190476190476	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1:181287467-181287510	NA	NA	NA	NA	NA	NA	NA	0.177777777777778	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00476190476190476	NA
chr5:107007488-107007555	NA	NA	0.0833333333333333	0.766310541310541	0.23	NA	1	NA	0.196666666666667	0.0166666666666667	1	NA	1	NA	0.2175	0.0485714285714286	0.4	1	NA	NA	0.975	NA	0.00833333333333333	0.222857142857143	NA	NA	NA	NA	NA	NA	NA	NA	0.00625	NA	1	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr22:31218311-31218327	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0361786584428094	0.0018018018018018
chr19:12305822-12305835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.916666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0354166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr13:88325353-88325445	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00208333333333333
chr9:98789894-98789910	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00229885057471264	NA
chr12:42983330-42983354	NA	NA	0.166666666666667	NA	0.0779220779220779	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	0.00925925925925926	NA	NA	NA	NA	0.00490196078431373	NA
chr1:243265077-243265115	NA	NA	NA	NA	NA	NA	NA	0.75047619047619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.019047619047619	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00621557828481511	NA
chr19:57276835-57276874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	1	NA	NA	NA	NA	NA	0.0416666666666667	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0238095238095238	NA	NA	NA	NA	NA	NA	NA	NA
chr10:118031352-118031403	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	0.00793650793650794	NA
chr11:46317035-46317065	NA	NA	NA	NA	1	1	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.261904761904762	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.101576994434137	0.0883198106828939
chr9:126769005-126769126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0266666666666667	NA
chr15:45403614-45403624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0476190476190476	NA	NA	NA	NA	NA	NA	NA	NA
chr1:231556484-231556629	NA	NA	0.5	NA	1	1	NA	0.025	NA	1	1	NA	1	1	0.433333333333333	0.0166666666666667	1	0.0222222222222222	1	1	0.511904761904762	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0032258064516129	NA
chr5:173315916-173315973	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.777142857142857	NA	0.05	NA	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00689655172413793
chr9:505476-505497	NA	NA	0.4004329004329	NA	NA	NA	0.5	1	NA	0.5	0.488095238095238	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0138888888888889	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00213675213675214	NA
chr3:12838098-12838108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.177777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	0.00666666666666667
chr17:77721403-77721420	NA	NA	NA	1	1	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0260416666666667	0.00666666666666667
chr12:50677000-50677049	NA	NA	NA	NA	1	NA	NA	0.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00277777777777778
chr2:232572142-232572220	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0138888888888889	NA	0.0037037037037037
chr2:219187566-219187602	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00171821305841924
chr3:122747227-122747237	NA	NA	1	1	0.5	0.666666666666667	NA	1	NA	NA	NA	NA	NA	1	1	0.5	0.5	NA	1	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00181159420289855
chr6:99273167-99273300	NA	NA	1	1	1	NA	NA	NA	0.5	1	NA	0.111111111111111	NA	0.822222222222222	1	1	0.5	0.5	NA	0.944444444444444	0.958333333333333	0.666666666666667	NA	NA	NA	0.0476190476190476	NA	0.0833333333333333	NA	0.0833333333333333	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA
chr5:115152114-115152118	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.018452380952381
chr1:184020710-184021142	NA	NA	0.913439153439153	0.51670068336735	0.954301255986265	NA	NA	0.763095003887843	NA	1	0.629076271240762	NA	NA	NA	NA	0.192665544332211	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000793650793650794	NA	1	0.000823045267489712	NA	NA	NA	NA	NA	NA	0.00155038759689922	NA	NA	NA	NA	0.00116959064327485	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	0.00066006600660066	NA	NA	NA	NA	0.00158730158730159	NA
chr15:45670294-45670312	NA	NA	1	NA	0.351851851851852	1	NA	NA	0.411111111111111	0.5	1	NA	NA	NA	NA	1	0.5	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00995635570103655	NA
chr14:58332805-58332826	NA	NA	1	0.666666666666667	NA	NA	NA	0.5	NA	NA	NA	NA	NA	1	NA	0.666666666666667	0.25	0.666666666666667	0.5	0.5	1	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00476190476190476	NA
chr2:232572055-232572104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr15:40212679-40212714	NA	NA	NA	1	1	NA	1	NA	0.0555555555555556	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA
chr19:19323192-19323256	NA	NA	NA	NA	1	1	NA	1	0.972222222222222	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	0.759259259259259	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8:142138557-142138610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00266666666666667	NA
chr18:55095098-55095125	NA	NA	NA	0.177777777777778	NA	1	NA	NA	NA	0.261904761904762	NA	NA	NA	NA	NA	0.177777777777778	0.261904761904762	NA	NA	NA	0.177777777777778	NA	NA	1	NA	0.0555555555555556	NA	NA	0.277777777777778	NA	NA	NA	1	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0138888888888889
chr12:82152864-82152897	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.633227513227513	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0552380952380952	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00101010101010101	0.00109289617486339
chr14:60952393-60952404	NA	NA	0.5	NA	0.0277777777777778	NA	NA	NA	NA	NA	0.5	0.0185185185185185	0.638888888888889	1	0.666666666666667	1	NA	NA	NA	1	0.5	0.5	NA	NA	NA	NA	NA	NA	NA	NA	0.763888888888889	NA	0.333333333333333	0.5	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00225225225225225	NA
chr22:20785437-20785461	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	0.00666666666666667	NA	1	NA	1	NA	NA	1	1	1	0.536346905912123	NA	NA	NA	NA	NA	NA	NA	NA	0.269890237831414	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.032731845981566	0.0644159425210362
chr8:37823480-37823497	NA	NA	NA	1	NA	1	1	1	NA	0.5	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.00238095238095238	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	0.00100250626566416	0.0141927204908868
chr6:15287982-15288157	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.166666666666667	NA	NA	0.916666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA
chr22:48885656-48885669	NA	NA	1	0.822222222222222	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	0.333333333333333	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111111111111111	NA	NA	NA	NA	0.00606060606060606	NA
chr20:30583314-30583540	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	0.0277777777777778	NA	1	NA	NA	NA	NA	NA	NA	1	0.0416666666666667	0.25	NA	NA	NA	NA	1	NA	0.2	1	NA	NA	NA	NA	NA	NA	0.00909090909090909	NA	NA	0.0111111111111111	0.05	0.025	NA	NA	NA	NA	0.0263157894736842	0.0444444444444444	NA	0.0285714285714286	NA	0.0222222222222222	NA	NA	0.0111111111111111	NA	0.333333333333333	NA	NA	0.0416666666666667	NA	0.0192307692307692	NA
chr10:63212719-63212772	NA	NA	1	0.7825	1	NA	1	NA	1	1	NA	NA	NA	NA	NA	1	1	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00105820105820106	NA
chr4:122686543-122686559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00149253731343284	NA
chr9:29212177-29212191	NA	NA	0.554166666666667	0.5	0.5	NA	NA	0.666666666666667	0.75	NA	NA	NA	NA	0.5	0.5	0.5	0.351851851851852	NA	0.0555555555555556	1	1	0.5	NA	0.554166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.177777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00416666666666667	NA
chr2:115920467-115920527	NA	NA	0.111111111111111	1	NA	1	1	NA	NA	0.988888888888889	1	NA	0.393054353054353	NA	NA	1	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952	NA	NA	0.833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0102564102564103	NA	NA	NA	NA	0.00606060606060606
chr11:126153209-126153250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00714285714285714
chr22:38477657-38477791	NA	NA	0.0433333333333333	0.941666666666667	0.888888888888889	0.5	1	0.9125	0.388888888888889	0.5	NA	0.00833333333333333	NA	0.496031746031746	0.985714285714286	0.983333333333333	0.694444444444444	0.5	0.466666666666667	1	0.00952380952380952	0.0355555555555556	NA	0.99	NA	NA	NA	NA	NA	NA	0.822222222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	0.0037037037037037	NA	NA	0.00208333333333333	NA
chr1:154928562-154928732	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00854700854700855	NA
chr14:69260675-69260711	NA	NA	NA	NA	NA	NA	NA	1	0.5	NA	NA	NA	NA	NA	1	0.5	0.971428571428572	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA
chr16:79635634-79635669	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00421940928270042	0.00241545893719807
chr12:51157257-51157267	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00855897914721444
chr16:216326-216331	NA	NA	NA	0.5	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	0.666666666666667	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00183150183150183	NA
